transaction_id,client_name,IBAN,contact_email,amount,category,status
TX-10385,Rioja Hospitality Ltd,FR11 5295 4534 154962447893,accounts@rioja17.com,1150.00,Subscriptions,settled
TX-11354,Marlin Foods Ltd,IT39 4533 3307 308596234712,accounts@marlin23.com,698.00,Logistics,settled
TX-10414,Atlas Partners Ltd,DE75 1802 5896 431746756255,accounts@atlas4.com,492.00,Subscriptions,settled
TX-11237,Delta Ventures SL,IT94 1001 5068 487588919626,accounts@delta11.com,481.00,Logistics,settled
TX-11501,Rioja Hospitality SA,FR13 5643 8488 257718226870,accounts@rioja37.com,564.00,Logistics,settled
TX-11584,Cobalt Trading BV,NL66 4664 3774 462196701188,accounts@cobalt27.com,2830.00,Logistics,refunded
TX-11226,Vega Analytics GmbH,FR14 2946 4946 607393599544,accounts@vega62.com,147.00,Logistics,settled
TX-10550,Ancora Works SA,NL87 4218 4170 472927645417,accounts@ancora42.com,931.00,Subscriptions,settled
TX-10621,Orion Media Ltd,NL75 5222 9813 838626138802,accounts@orion29.com,818.00,Subscriptions,refunded
TX-10645,Rioja Hospitality SA,FR88 5694 8598 905108541819,accounts@rioja0.com,1141.00,Subscriptions,refunded
TX-10454,Praxis Digital SA,FR21 9914 7349 336933261892,accounts@praxis67.com,225.00,Subscriptions,settled
TX-10118,Cinder Energy GmbH,NL24 2041 8802 678636525027,accounts@cinder37.com,593.00,Subscriptions,settled
TX-10030,Mistral Group BV,DE13 7455 1444 208055556030,accounts@mistral39.com,882.00,Subscriptions,settled
TX-11420,Lumen Systems BV,DE51 8035 4046 552053633420,accounts@lumen46.com,390.00,Logistics,settled
TX-10455,Praxis Digital Ltd,FR67 1731 5313 667292376027,accounts@praxis47.com,120.00,Subscriptions,settled
TX-10474,Orion Media SA,NL35 1944 5087 142960432117,accounts@orion49.com,753.00,Subscriptions,settled
TX-10230,Kestrel Clinics Ltd,DE27 6373 6218 308913915028,accounts@kestrel34.com,790.00,Subscriptions,settled
TX-10972,Novara Logistics BV,FR62 5166 1916 727586203381,accounts@novara15.com,762.00,Professional Services,settled
TX-11569,Marlin Foods SAS,IT87 4774 8355 635238037402,accounts@marlin26.com,504.00,Logistics,refunded
TX-10054,Kestrel Clinics Ltd,DE16 5786 3068 913108307952,accounts@kestrel11.com,494.00,Subscriptions,settled
TX-11100,Iberia Supply SA,ES20 1415 4696 982073673810,accounts@iberia85.com,1739.00,Hardware,settled
TX-10800,Praxis Digital SA,FR24 1860 3745 697007563175,accounts@praxis67.com,1531.00,Professional Services,settled
TX-10603,Mistral Group SL,DE59 3166 2778 121413599241,accounts@mistral96.com,738.00,Subscriptions,settled
TX-10839,Atlas Partners SA,DE32 1616 3949 739967982724,accounts@atlas61.com,778.00,Professional Services,settled
TX-10643,Kestrel Clinics SA,DE54 4259 9821 326517352486,accounts@kestrel31.com,1767.00,Subscriptions,refunded
TX-10187,Kestrel Clinics SA,DE16 6438 5476 258728116828,accounts@kestrel91.com,120.00,Subscriptions,settled
TX-10933,Cobalt Trading BV,NL75 5569 3414 681464013969,accounts@cobalt27.com,120.00,Professional Services,settled
TX-10986,Novara Logistics SL,FR61 8027 5262 292580205025,accounts@novara12.com,1020.00,Professional Services,refunded
TX-10038,Solace Industrial GmbH,ES19 4978 2669 998612747444,accounts@solace50.com,1084.00,Subscriptions,settled
TX-11597,Cobalt Trading BV,NL15 3571 5638 481104128742,accounts@cobalt27.com,915.00,Marketing,settled
TX-11729,Iberia Supply Ltd,ES41 5259 6610 478255033473,accounts@iberia28.com,639.00,Marketing,settled
TX-10258,Novara Logistics GmbH,FR98 4871 2017 955802739154,accounts@novara92.com,1009.00,Subscriptions,settled
TX-11076,Atlas Partners SAS,DE69 7669 2072 715419119519,accounts@atlas81.com,246.00,Hardware,settled
TX-11303,Nordic Retail SL,ES47 1640 3427 454982499657,accounts@nordic60.com,368.00,Logistics,settled
TX-11692,Cinder Energy GmbH,NL82 8510 1665 196697654131,accounts@cinder37.com,968.00,Marketing,settled
TX-10170,Kestrel Clinics Ltd,DE28 8167 2502 388802681056,accounts@kestrel34.com,472.00,Subscriptions,settled
TX-10297,Halcyon Consulting SAS,ES89 8916 8993 129618334441,accounts@halcyon15.com,411.00,Subscriptions,settled
TX-11379,Bastion Studio SA,IT10 8381 3059 911418527641,accounts@bastion36.com,672.00,Logistics,settled
TX-10747,Orion Media SAS,NL62 2422 9143 406890906602,accounts@orion69.com,960.00,Professional Services,settled
TX-10345,Solace Industrial SL,ES68 3826 5873 883534753843,accounts@solace90.com,982.00,Subscriptions,settled
TX-10778,Halcyon Consulting SAS,ES57 9992 1870 102542943951,accounts@halcyon15.com,886.00,Professional Services,settled
TX-10004,Nordic Retail SL,ES38 4269 8541 541977515194,accounts@nordic23.com,930.00,Subscriptions,settled
TX-10728,Praxis Digital Ltd,FR28 1902 6718 149729229346,accounts@praxis47.com,1423.00,Professional Services,settled
TX-11825,Solace Industrial GmbH,ES63 1928 2723 458440784470,accounts@solace13.com,683.00,Training,settled
TX-11820,Bastion Studio SA,IT49 9589 2681 907865275431,accounts@bastion36.com,480.00,Training,settled
TX-11474,Atlas Partners Ltd,DE48 8976 5722 188730018011,accounts@atlas41.com,448.00,Logistics,settled
TX-11177,Tarragon Labs SL,IT66 1858 1076 168612441673,accounts@tarragon78.com,744.00,Hardware,settled
TX-10541,Cinder Energy BV,NL27 7762 9393 481933479178,accounts@cinder34.com,836.00,Subscriptions,settled
TX-11710,Cinder Energy GmbH,NL32 3606 7571 807049530959,accounts@cinder74.com,975.00,Marketing,settled
TX-10206,Atlas Partners SAS,DE92 2215 8372 692479679716,accounts@atlas81.com,941.00,Subscriptions,settled
TX-10918,Cobalt Trading SL,NL25 4365 4277 338175175160,accounts@cobalt24.com,1057.00,Professional Services,settled
TX-10374,Vega Analytics GmbH,FR11 6629 2975 643980840461,accounts@vega2.com,266.00,Subscriptions,settled
TX-10799,Novara Logistics BV,FR91 3740 4454 832482088956,accounts@novara15.com,766.00,Professional Services,settled
TX-11582,Solace Industrial BV,ES36 8053 9505 457938423009,accounts@solace10.com,300.00,Logistics,refunded
TX-11030,Tarragon Labs BV,IT25 4671 8968 439562716638,accounts@tarragon58.com,949.00,Hardware,settled
TX-10596,Novara Logistics GmbH,FR87 2938 4773 638778927211,accounts@novara92.com,869.00,Subscriptions,settled
TX-11846,Novara Logistics BV,FR92 4538 3381 112274716830,accounts@novara15.com,832.00,Training,settled
TX-11188,Iberia Supply Ltd,ES88 3032 6060 408464280728,accounts@iberia5.com,684.00,Hardware,refunded
TX-11760,Tarragon Labs BV,IT43 8732 5974 575917679694,accounts@tarragon58.com,140.00,Marketing,settled
TX-10532,Atlas Partners SA,DE94 6952 8414 243829998009,accounts@atlas24.com,1009.00,Subscriptions,settled
TX-11616,Praxis Digital Ltd,FR61 1151 5861 258201299357,accounts@praxis10.com,547.00,Marketing,settled
TX-11884,Cinder Energy SL,NL22 8491 4042 388354747441,accounts@cinder54.com,120.00,Training,settled
TX-11651,Iberia Supply SAS,ES38 4084 5469 356561692070,accounts@iberia8.com,184.00,Marketing,settled
TX-10551,Ancora Works SA,NL33 3847 9418 252620054076,accounts@ancora19.com,703.00,Subscriptions,settled
TX-11034,Iberia Supply SA,ES29 6959 6482 276162079678,accounts@iberia25.com,337.00,Hardware,settled
TX-10442,Nordic Retail SL,ES16 7323 8179 635162260671,accounts@nordic0.com,689.00,Subscriptions,settled
TX-10766,Tarragon Labs BV,IT31 5624 6711 873468224333,accounts@tarragon21.com,627.00,Professional Services,settled
TX-10203,Nordic Retail SL,ES73 1430 6912 807752880042,accounts@nordic60.com,858.00,Subscriptions,settled
TX-10947,Marlin Foods SAS,IT40 6113 2391 982309589038,accounts@marlin63.com,478.00,Professional Services,settled
TX-10742,Atlas Partners SA,DE14 3224 8888 297988772877,accounts@atlas24.com,235.00,Professional Services,settled
TX-11364,Vega Analytics GmbH,FR99 1130 3532 236543345069,accounts@vega62.com,335.00,Logistics,settled
TX-11664,Praxis Digital SA,FR30 9391 3726 484229171556,accounts@praxis7.com,342.00,Marketing,settled
TX-11493,Rioja Hospitality Ltd,FR10 3507 2983 761416026153,accounts@rioja17.com,578.00,Logistics,settled
TX-10493,Orion Media SA,NL74 2963 7253 776576395496,accounts@orion49.com,193.00,Subscriptions,settled
TX-10521,Lumen Systems BV,DE85 8908 8178 337920580262,accounts@lumen9.com,481.00,Subscriptions,settled
TX-11291,Halcyon Consulting SAS,ES87 7088 4903 932185183112,accounts@halcyon38.com,307.00,Logistics,settled
TX-10785,Halcyon Consulting SA,ES59 6821 4698 339621846170,accounts@halcyon18.com,285.00,Professional Services,settled
TX-11152,Delta Ventures GmbH,IT27 3518 6410 829018466673,accounts@delta8.com,615.00,Hardware,settled
TX-11518,Mistral Group SL,DE19 2280 3083 762280875150,accounts@mistral96.com,703.00,Logistics,settled
TX-10849,Kestrel Clinics SAS,DE58 4615 2204 707807919405,accounts@kestrel51.com,1125.00,Professional Services,settled
TX-10315,Bastion Studio SAS,IT21 4070 8061 677495883972,accounts@bastion33.com,313.00,Subscriptions,settled
TX-10242,Solace Industrial BV,ES46 2996 9899 585924077461,accounts@solace70.com,1186.00,Subscriptions,settled
TX-11892,Tarragon Labs SL,IT91 2874 2888 303098249631,accounts@tarragon18.com,120.00,Training,settled
TX-10897,Orion Media SAS,NL63 3865 8571 821588097152,accounts@orion69.com,177.00,Professional Services,settled
TX-10082,Delta Ventures BV,IT52 9903 7180 689301537234,accounts@delta88.com,120.00,Subscriptions,settled
TX-11164,Marlin Foods Ltd,IT46 8476 6681 998698070838,accounts@marlin23.com,1444.00,Hardware,settled
TX-11337,Marlin Foods SAS,IT82 7823 3452 339369885242,accounts@marlin3.com,120.00,Logistics,settled
TX-10092,Lumen Systems BV,DE31 3868 2293 889035194895,accounts@lumen46.com,1081.00,Subscriptions,settled
TX-10816,Praxis Digital SAS,FR66 5243 2692 141313186891,accounts@praxis27.com,1289.00,Professional Services,settled
TX-11082,Orion Media Ltd,NL90 4485 9361 461195355435,accounts@orion89.com,658.00,Hardware,settled
TX-11344,Ancora Works Ltd,NL71 6131 7637 581707915261,accounts@ancora22.com,500.00,Logistics,settled
TX-11028,Novara Logistics SL,FR12 6878 5273 553907383020,accounts@novara12.com,1661.00,Hardware,settled
TX-10589,Cinder Energy BV,NL39 1701 4387 766846530109,accounts@cinder94.com,551.00,Subscriptions,settled
TX-10871,Mistral Group BV,DE96 9730 5788 677961932703,accounts@mistral39.com,1072.00,Professional Services,settled
TX-10357,Novara Logistics BV,FR25 4882 4438 858254773516,accounts@novara15.com,599.00,Subscriptions,settled
TX-11174,Marlin Foods SA,IT12 2646 3903 478479455700,accounts@marlin43.com,1097.00,Hardware,settled
TX-11378,Tarragon Labs GmbH,IT68 3416 9182 507040384625,accounts@tarragon38.com,655.00,Logistics,settled
TX-11204,Marlin Foods SA,IT94 2465 2728 651125506598,accounts@marlin43.com,434.00,Logistics,settled
TX-11624,Marlin Foods SA,IT42 9864 4319 193545365683,accounts@marlin6.com,732.00,Marketing,settled
TX-11144,Rioja Hospitality Ltd,FR97 5496 4123 875286358927,accounts@rioja77.com,120.00,Hardware,settled
TX-10792,Vega Analytics SL,FR14 5981 5267 177997790446,accounts@vega42.com,1168.00,Professional Services,settled
TX-10344,Praxis Digital SA,FR95 9019 9646 915785590330,accounts@praxis67.com,328.00,Subscriptions,settled
TX-10810,Kestrel Clinics SA,DE25 2415 3128 585153944226,accounts@kestrel31.com,1911.00,Professional Services,settled
TX-10372,Atlas Partners Ltd,DE90 6005 4836 643815287619,accounts@atlas4.com,167.00,Subscriptions,settled
TX-11333,Halcyon Consulting SAS,ES68 3361 7898 411964594683,accounts@halcyon75.com,155.00,Logistics,settled
TX-11526,Lumen Systems SL,DE19 1579 6666 199374790162,accounts@lumen29.com,455.00,Logistics,settled
TX-10453,Nordic Retail GmbH,ES70 2892 6052 607317658317,accounts@nordic20.com,676.00,Subscriptions,settled
TX-10529,Praxis Digital SA,FR67 6178 2944 731076317824,accounts@praxis30.com,773.00,Subscriptions,settled
TX-10966,Nordic Retail BV,ES44 3235 1477 433365264764,accounts@nordic40.com,1123.00,Professional Services,settled
TX-11708,Iberia Supply Ltd,ES46 9040 4845 585860603268,accounts@iberia5.com,901.00,Marketing,settled
TX-10991,Praxis Digital SA,FR40 8388 5068 578074822909,accounts@praxis67.com,691.00,Professional Services,refunded
TX-10994,Nordic Retail SL,ES55 1745 1087 426931082155,accounts@nordic23.com,989.00,Professional Services,refunded
TX-10472,Novara Logistics SL,FR57 1920 9442 305576790020,accounts@novara35.com,332.00,Subscriptions,settled
TX-10624,Praxis Digital SA,FR41 5706 2523 618821456242,accounts@praxis67.com,575.00,Subscriptions,refunded
TX-11324,Rioja Hospitality Ltd,FR89 5702 6707 234430319690,accounts@rioja77.com,577.00,Logistics,settled
TX-11615,Orion Media SAS,NL64 9113 3797 903092479645,accounts@orion9.com,472.00,Marketing,settled
TX-10212,Praxis Digital SA,FR93 4453 7825 893744446292,accounts@praxis67.com,389.00,Subscriptions,settled
TX-10842,Tarragon Labs BV,IT90 4409 5528 161832016743,accounts@tarragon21.com,313.00,Professional Services,settled
TX-10003,Marlin Foods SAS,IT44 3608 2771 584745927824,accounts@marlin63.com,120.00,Subscriptions,settled
TX-10483,Solace Industrial BV,ES94 7131 5631 483939532043,accounts@solace33.com,417.00,Subscriptions,settled
TX-10958,Vega Analytics SL,FR42 9443 8425 959669835245,accounts@vega5.com,1758.00,Professional Services,settled
TX-11103,Cobalt Trading BV,NL41 2766 8759 409412993371,accounts@cobalt64.com,1384.00,Hardware,settled
TX-11654,Tarragon Labs GmbH,IT29 9813 4451 997158353462,accounts@tarragon1.com,303.00,Marketing,settled
TX-11591,Kestrel Clinics Ltd,DE49 8334 7714 383685585090,accounts@kestrel11.com,197.00,Marketing,settled
TX-11407,Mistral Group SL,DE50 8387 3639 332283142882,accounts@mistral96.com,374.00,Logistics,settled
TX-10407,Cobalt Trading SL,NL74 3187 7461 195562470175,accounts@cobalt24.com,616.00,Subscriptions,settled
TX-11888,Ancora Works SAS,NL28 5033 5230 642330319954,accounts@ancora39.com,755.00,Training,settled
TX-11326,Vega Analytics GmbH,FR18 2854 8003 451621343575,accounts@vega25.com,230.00,Logistics,settled
TX-10330,Ancora Works SA,NL14 6890 9796 861364994639,accounts@ancora42.com,655.00,Subscriptions,settled
TX-10680,Marlin Foods Ltd,IT74 4617 3509 169578627236,accounts@marlin83.com,570.00,Professional Services,settled
TX-11425,Praxis Digital Ltd,FR97 8130 6206 501851049558,accounts@praxis10.com,187.00,Logistics,settled
TX-11059,Mistral Group SL,DE28 7910 1797 499113438941,accounts@mistral36.com,1277.00,Hardware,settled
TX-11545,Tarragon Labs GmbH,IT73 1308 7268 592907050257,accounts@tarragon1.com,826.00,Logistics,settled
TX-11527,Nordic Retail GmbH,ES80 8844 3121 444106677731,accounts@nordic20.com,251.00,Logistics,settled
TX-11747,Atlas Partners SAS,DE91 2196 4218 715794928932,accounts@atlas81.com,694.00,Marketing,settled
TX-11191,Nordic Retail SL,ES86 8270 6385 276489511283,accounts@nordic60.com,716.00,Hardware,refunded
TX-10833,Orion Media SA,NL53 7586 6312 255884792606,accounts@orion12.com,1762.00,Professional Services,settled
TX-11693,Orion Media SAS,NL28 2656 7257 755633259825,accounts@orion9.com,248.00,Marketing,settled
TX-10633,Vega Analytics GmbH,FR11 4452 7216 845727675931,accounts@vega2.com,702.00,Subscriptions,refunded
TX-10795,Bastion Studio SAS,IT88 5603 5509 429650936041,accounts@bastion33.com,965.00,Professional Services,settled
TX-11890,Delta Ventures SL,IT72 5152 1170 908269331531,accounts@delta48.com,203.00,Training,settled
TX-11774,Kestrel Clinics SAS,DE14 9261 6358 787408131889,accounts@kestrel14.com,1081.00,Marketing,refunded
TX-11862,Lumen Systems BV,DE22 6098 6818 328332638556,accounts@lumen46.com,197.00,Training,settled
TX-10930,Mistral Group SL,DE60 7563 2666 315572896413,accounts@mistral36.com,984.00,Professional Services,settled
TX-11427,Kestrel Clinics SA,DE67 3803 6355 852644360541,accounts@kestrel31.com,633.00,Logistics,settled
TX-10803,Rioja Hospitality SA,FR96 6172 9687 975105433614,accounts@rioja0.com,357.00,Professional Services,settled
TX-10957,Orion Media SAS,NL48 8092 9846 506154291401,accounts@orion32.com,1832.00,Professional Services,settled
TX-11339,Bastion Studio SA,IT24 3554 1983 929727885096,accounts@bastion73.com,602.00,Logistics,settled
TX-11032,Rioja Hospitality SAS,FR24 2734 2669 819770191959,accounts@rioja20.com,808.00,Hardware,settled
TX-10923,Novara Logistics BV,FR96 2758 3963 559509623540,accounts@novara15.com,1850.00,Professional Services,settled
TX-11713,Tarragon Labs BV,IT46 8363 3571 327013187705,accounts@tarragon21.com,749.00,Marketing,settled
TX-11867,Marlin Foods Ltd,IT59 6017 1453 827714600261,accounts@marlin83.com,256.00,Training,settled
TX-10996,Iberia Supply SAS,ES43 3783 9253 739290691086,accounts@iberia45.com,294.00,Professional Services,refunded
TX-10080,Rioja Hospitality Ltd,FR45 7798 6568 745305985001,accounts@rioja17.com,267.00,Subscriptions,settled
TX-10725,Kestrel Clinics SAS,DE10 5146 1200 684467990956,accounts@kestrel51.com,289.00,Professional Services,settled
TX-11392,Lumen Systems BV,DE14 1254 1430 298690182456,accounts@lumen9.com,826.00,Logistics,settled
TX-11540,Atlas Partners SAS,DE99 9870 9248 235526884931,accounts@atlas81.com,442.00,Logistics,settled
TX-11535,Marlin Foods SAS,IT41 1931 2255 175839207920,accounts@marlin3.com,526.00,Logistics,settled
TX-11105,Cobalt Trading SL,NL90 8314 3045 205185555500,accounts@cobalt24.com,364.00,Hardware,settled
TX-10543,Orion Media Ltd,NL55 8870 7839 968934097788,accounts@orion29.com,1168.00,Subscriptions,settled
TX-10076,Praxis Digital SA,FR90 4920 3594 493365835550,accounts@praxis7.com,1104.00,Subscriptions,settled
TX-11777,Novara Logistics BV,FR58 3042 2521 323218334233,accounts@novara52.com,410.00,Training,settled
TX-11146,Marlin Foods SA,IT61 1194 8733 932707272205,accounts@marlin6.com,1736.00,Hardware,settled
TX-10901,Lumen Systems BV,DE32 9059 5009 136485605386,accounts@lumen9.com,1623.00,Professional Services,settled
TX-11671,Novara Logistics GmbH,FR50 3187 7551 519151939381,accounts@novara32.com,731.00,Marketing,settled
TX-10452,Kestrel Clinics SAS,DE22 1421 4390 318035975297,accounts@kestrel51.com,1064.00,Subscriptions,settled
TX-11415,Nordic Retail BV,ES23 6105 3714 367390188891,accounts@nordic3.com,419.00,Logistics,settled
TX-11647,Vega Analytics BV,FR24 2483 3990 216092366152,accounts@vega22.com,250.00,Marketing,settled
TX-10708,Lumen Systems SL,DE55 2302 8808 277892184524,accounts@lumen6.com,335.00,Professional Services,settled
TX-10239,Mistral Group BV,DE53 9950 6804 968272725281,accounts@mistral39.com,956.00,Subscriptions,settled
TX-11844,Rioja Hospitality SAS,FR66 1668 5028 809558483771,accounts@rioja57.com,480.00,Training,settled
TX-11563,Halcyon Consulting SA,ES58 1534 3458 583788344656,accounts@halcyon55.com,644.00,Logistics,refunded
TX-10797,Cobalt Trading GmbH,NL43 4869 8944 334702323796,accounts@cobalt44.com,1197.00,Professional Services,settled
TX-11653,Orion Media Ltd,NL92 9569 8367 901732183014,accounts@orion89.com,362.00,Marketing,settled
TX-11519,Solace Industrial SL,ES73 4777 1843 867616560434,accounts@solace30.com,746.00,Logistics,settled
TX-10497,Iberia Supply Ltd,ES21 3120 8105 917139268005,accounts@iberia28.com,587.00,Subscriptions,settled
TX-11187,Solace Industrial BV,ES91 4808 9248 851057087328,accounts@solace33.com,300.00,Hardware,refunded
TX-10581,Tarragon Labs SL,IT72 2783 3879 923605446007,accounts@tarragon78.com,804.00,Subscriptions,settled
TX-10911,Lumen Systems BV,DE68 2251 2909 264966014688,accounts@lumen9.com,597.00,Professional Services,settled
TX-10292,Ancora Works SAS,NL35 6404 4768 586350369667,accounts@ancora39.com,947.00,Subscriptions,settled
TX-11672,Delta Ventures SL,IT86 7452 9750 196784750523,accounts@delta11.com,819.00,Marketing,settled
TX-11383,Iberia Supply SAS,ES62 6762 6770 792442364344,accounts@iberia8.com,242.00,Logistics,settled
TX-10825,Orion Media SAS,NL34 1415 4907 722669743840,accounts@orion9.com,662.00,Professional Services,settled
TX-11627,Marlin Foods SA,IT10 4798 4546 213641077173,accounts@marlin43.com,148.00,Marketing,settled
TX-11464,Cobalt Trading SL,NL22 5990 6499 677638795698,accounts@cobalt24.com,635.00,Logistics,settled
TX-11682,Lumen Systems SL,DE91 2899 8377 742567069461,accounts@lumen66.com,120.00,Marketing,settled
TX-11741,Bastion Studio SAS,IT95 1538 7528 905583579348,accounts@bastion93.com,903.00,Marketing,settled
TX-10057,Vega Analytics SL,FR72 2213 1878 292304963614,accounts@vega5.com,1058.00,Subscriptions,settled
TX-10542,Bastion Studio Ltd,IT89 5760 6657 968030335064,accounts@bastion53.com,160.00,Subscriptions,settled
TX-11622,Halcyon Consulting SAS,ES89 8679 3563 186265756641,accounts@halcyon15.com,138.00,Marketing,settled
TX-11225,Bastion Studio SA,IT25 9444 6545 858398297717,accounts@bastion13.com,460.00,Logistics,settled
TX-10729,Mistral Group BV,DE52 2436 1803 231765571034,accounts@mistral76.com,532.00,Professional Services,settled
TX-11072,Marlin Foods SA,IT17 6329 3973 134063602860,accounts@marlin43.com,1025.00,Hardware,settled
TX-10597,Orion Media Ltd,NL71 8844 8848 363537427612,accounts@orion29.com,1126.00,Subscriptions,settled
TX-10059,Bastion Studio Ltd,IT48 8025 6003 823667292043,accounts@bastion16.com,764.00,Subscriptions,settled
TX-10618,Orion Media SAS,NL59 7564 9536 463566125120,accounts@orion9.com,467.00,Subscriptions,settled
TX-10351,Orion Media SAS,NL93 9109 7703 977406913885,accounts@orion32.com,152.00,Subscriptions,settled
TX-10226,Novara Logistics GmbH,FR80 5728 2204 597460728316,accounts@novara92.com,648.00,Subscriptions,settled
TX-11021,Halcyon Consulting SAS,ES77 1311 7914 835567743118,accounts@halcyon15.com,542.00,Hardware,settled
TX-11598,Marlin Foods SAS,IT14 5463 3025 588109356121,accounts@marlin63.com,566.00,Marketing,settled
TX-11417,Kestrel Clinics SAS,DE82 6782 7126 904519045785,accounts@kestrel51.com,432.00,Logistics,settled
TX-10726,Lumen Systems SL,DE40 4553 8794 687056554007,accounts@lumen29.com,1920.00,Professional Services,settled
TX-10717,Novara Logistics SL,FR28 8595 8400 211486068287,accounts@novara35.com,423.00,Professional Services,settled
TX-11735,Lumen Systems SL,DE56 9332 9467 614865487796,accounts@lumen66.com,376.00,Marketing,settled
TX-10234,Bastion Studio SA,IT84 8871 3793 778907752604,accounts@bastion13.com,648.00,Subscriptions,settled
TX-10426,Mistral Group GmbH,DE13 5602 1959 707568861677,accounts@mistral56.com,1191.00,Subscriptions,settled
TX-10362,Marlin Foods SAS,IT28 6277 5055 966981604165,accounts@marlin63.com,824.00,Subscriptions,settled
TX-11609,Atlas Partners SA,DE76 4808 1965 736377401488,accounts@atlas24.com,309.00,Marketing,settled
TX-10147,Orion Media Ltd,NL77 9355 4176 541634323009,accounts@orion29.com,415.00,Subscriptions,settled
TX-10100,Novara Logistics BV,FR14 6977 3153 219201789018,accounts@novara15.com,231.00,Subscriptions,settled
TX-11271,Novara Logistics BV,FR94 8198 3651 272863844675,accounts@novara15.com,120.00,Logistics,settled
TX-10205,Vega Analytics GmbH,FR77 7730 7708 831316756902,accounts@vega25.com,683.00,Subscriptions,settled
TX-10183,Kestrel Clinics Ltd,DE55 9945 6546 928281641403,accounts@kestrel11.com,991.00,Subscriptions,settled
TX-11181,Delta Ventures SL,IT89 4393 9875 609327611847,accounts@delta48.com,1728.00,Hardware,settled
TX-10776,Mistral Group BV,DE82 5989 8122 545253259971,accounts@mistral76.com,507.00,Professional Services,settled
TX-11256,Marlin Foods Ltd,IT91 2302 2256 405058172647,accounts@marlin23.com,423.00,Logistics,settled
TX-11027,Iberia Supply Ltd,ES22 7815 9089 482008110018,accounts@iberia28.com,1374.00,Hardware,settled
TX-11815,Bastion Studio Ltd,IT88 2094 1970 621602597967,accounts@bastion53.com,215.00,Training,settled
TX-11521,Rioja Hospitality Ltd,FR30 5719 2225 783471134681,accounts@rioja17.com,136.00,Logistics,settled
TX-10240,Marlin Foods SAS,IT34 5038 5571 812282044148,accounts@marlin26.com,230.00,Subscriptions,settled
TX-11605,Cobalt Trading BV,NL73 7449 7106 794069092303,accounts@cobalt4.com,847.00,Marketing,settled
TX-11512,Cinder Energy BV,NL91 4272 4206 427404238705,accounts@cinder34.com,120.00,Logistics,settled
TX-10676,Ancora Works SA,NL51 8905 3832 724898351305,accounts@ancora19.com,411.00,Professional Services,settled
TX-11017,Delta Ventures SL,IT12 2908 3721 297378227601,accounts@delta11.com,1350.00,Hardware,settled
TX-10154,Lumen Systems GmbH,DE53 2381 9266 921741134891,accounts@lumen26.com,811.00,Subscriptions,settled
TX-10435,Iberia Supply SA,ES53 5944 6285 275191289674,accounts@iberia25.com,264.00,Subscriptions,settled
